"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SG_02_FUNDR_EVNT_1_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_1","SG_02_FUNDR_EVNT_REV_GRO_1","GrossReceiptsTotalAmt","GrossRevenueTotalEventsAmt","NetIncomeSummaryAmt","SG_02_FUNDR_EVNT_2_NAME","SG_02_FUNDR_EVNT_REV_GRORCPT_2","SG_02_FUNDR_EVNT_REV_GRO_2","SG_02_FUNDR_EVNT_REV_CONTR_1","SG_02_FUNDR_EVNT_EXP_OTH_1","SG_02_FUNDR_EVNT_REV_CONTR_2","SG_02_FUNDR_EVNT_EXP_OTH_2","SG_02_FUNDR_EVNT_OTH_TOT_NUM","SG_02_FUNDR_EVNT_REV_GRORCPT_OTH","SG_02_FUNDR_EVNT_REV_CONTR_OTH","SG_02_FUNDR_EVNT_REV_GRO_OTH","SG_02_FUNDR_EVNT_EXP_OTH_OTH","CharitableContributionsTotAmt","OthDirectExpnssTotalEventsAmt","DirectExpenseSummaryEventsAmt","SG_02_FUNDR_EVNT_EXP_FOOD_1","SG_02_FUNDR_EVNT_EXP_ENTMT_1","SG_02_FUNDR_EVNT_EXP_FOOD_2","SG_02_FUNDR_EVNT_EXP_FOOD_OTH","FoodAndBeverageTotalEventsAmt","EntertainmentTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_RENT_1","RentFcltyCostsTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_ENTMT_2","SG_02_FUNDR_EVNT_EXP_ENTMT_OTH","SG_02_FUNDR_EVNT_EXP_RENT_2","SG_02_FUNDR_EVNT_EXP_NONCSH_OTH","SG_02_FUNDR_EVNT_EXP_RENT_OTH","NonCashPrizesTotalEventsAmt","CashPrizesTotalEventsAmt","SG_02_FUNDR_EVNT_EXP_NONCSH_1","SG_02_FUNDR_EVNT_EXP_NONCSH_2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943189349303804","581296904","JAMES M DYE FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943189349303804_public.xml","GOLF TOURNAMENT","45751","45751","45751","45751","45751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349302214","134236056","MARTINA ARROYO FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349302214_public.xml","PRELUDE","23397","23397","41578","41578","41578","ROLE CLASS","18181","18181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903019349301560","860816675","EL RIO FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903019349301560_public.xml","ANNUAL GALA","339651","67705","550014","162056","-48705","ANNUAL BTBP","148239","69870","271946","125416","78369","76949","1","62124","37643","24481","8396","387958","210761","210761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902879349301890","593193042","CANCER CARE CENTER OF BREVARD","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902879349301890_public.xml","PINK WALK","53180",NA,"53180",NA,"-2921",NA,NA,NA,"53180","2921",NA,NA,NA,NA,NA,NA,NA,"53180","2921","2921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021059349301227","830219163","TETON SCIENCE SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021059349301227_public.xml","GALA 2019","136990","136990","180820","180820","90812","SPIRIT OF CONSERVATION","30275","30275",NA,"27234",NA,"28102","1","13555",NA,"13555","5707",NA,"61043","90008","11338","1300","12820","3507","27665","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942809349300324","411558212","COLUMBIA HEIGHTS ATHLETIC BOOSTERS CLUB","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942809349300324_public.xml","GOLF TOURNEY","8351","8351","20231","20231","9262",NA,NA,NA,NA,"6665",NA,NA,"3","11880",NA,"11880","4304",NA,"10969","10969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921359349305952","364188163","FRIENDS OF UNCLE MIKE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921359349305952_public.xml","GOLF OUTING","136898","62466","136898","62466","-11966",NA,NA,NA,"74432","36169",NA,NA,NA,NA,NA,NA,NA,"74432","36169","74432",NA,NA,NA,NA,NA,NA,"38263","38263",NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902609349300910","133154100","LEVITICUS 2523 ALTERNATIVE FUND INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902609349300910_public.xml","CELEBRATING 35TH ANNIVERSARY","61002","40792","61002","40792","0",NA,NA,NA,"20210","4343",NA,NA,NA,NA,NA,NA,NA,"20210","4343","40792","17402","12887",NA,NA,"17402","12887","6160","6160",NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932549349200813","770136842","NORTHWOOD ELEMENTARY PTA","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932549349200813_public.xml","APEX FUN RUN","48052","48052","59518","59518","28768","BOOK FAIR","11466","11466",NA,"22974",NA,"7776",NA,NA,NA,NA,NA,NA,"30750","30750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300019","461821459","Agape House of Prescott Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942739349300019_public.xml","Poinsettia","68740","3094","68740","3094","-8343",NA,NA,NA,"65646","11437",NA,NA,NA,NA,NA,NA,NA,"65646","11437","11437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942879349301859","396108549","RIVEREDGE NATURE CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942879349301859_public.xml","FARM DINNER","86826","70426","165973","142973","61176","RIVER VALLEY BI","41802","35552","16400","24347","6250","13192","3","37345","350","36995","7482","23000","45021","81797","14388","400","3162","5260","22810","13966",NA,NA,"625","12941",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921639349301022","060662195","CENTRAL CONNECTICUT COAST YOUNG MEN'S CHRISTIAN ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921639349301022_public.xml","ALPHA WALK","118507","65242","345301","213447","119941","SOUNDVIEW GOLF","44970","29820","53265","3764","15150","2927","6","181824","63439","118385","31363","131854","38054","93506",NA,NA,"6825","30349","37174","300",NA,"17285",NA,"300","12585","693","4700","693",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931439349300228","363973645","Friends of Strays Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931439349300228_public.xml","Fundraising income","32483","32483","32483","32483","22063","Fundraising expenses",NA,NA,NA,"10420",NA,NA,NA,NA,NA,NA,NA,NA,"10420","10420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
